Hour,Date,Core,ng N2O-N cm-2hr-1,Insulation
0,18 AM,2,14.88596534,N
12,18 PM,2,,N
24,19 AM,2,,N
36,19 PM,2,-6.478443154,N
48,20 AM,2,1.629929148,N
60,20 PM,2,-4.786116561,N
72,21 AM,2,,N
84,21 PM,2,-115.3764753,N
96,22 AM,2,-12.97307691,N
108,22 PM,2,26.05241253,N
120,23 AM,2,37.19408529,N
132,23 PM,2,80.96234609,N
144,24 AM,2,117.7246567,N
156,24 PM,2,260.2005521,N
168,25 AM,2,295.037732,N
180,25 PM,2,408.3564019,N
192,26 AM,2,311.0567173,N
0,18 AM,5,,Y
12,18 PM,5,242.9426043,Y
24,19 AM,5,-2.741060905,Y
36,19 PM,5,7.254674527,Y
48,20 AM,5,-5.847845569,Y
60,20 PM,5,0,Y
72,21 AM,5,6.564889235,Y
84,21 PM,5,9.593541498,Y
96,22 AM,5,58.47434733,Y
108,22 PM,5,221.1525438,Y
120,23 AM,5,251.7562666,Y
132,23 PM,5,477.4979781,Y
144,24 AM,5,373.9385309,Y
156,24 PM,5,341.3400238,Y
168,25 AM,5,294.2623198,Y
180,25 PM,5,210.104633,Y
192,26 AM,5,112.5088045,Y
0,18 AM,9,15.27770127,Y
12,18 PM,9,-1144.498499,Y
24,19 AM,9,6.629929139,Y
36,19 PM,9,2.20997638,Y
48,20 AM,9,0,Y
60,20 PM,9,50.79660855,Y
72,21 AM,9,21.07946758,Y
84,21 PM,9,67.54279675,Y
96,22 AM,9,181.5228137,Y
108,22 PM,9,701.3923687,Y
120,23 AM,9,514.0437964,Y
132,23 PM,9,1137.219195,Y
144,24 AM,9,882.9296777,Y
156,24 PM,9,1007.951533,Y
168,25 AM,9,589.9685871,Y
180,25 PM,9,649.1732176,Y
192,26 AM,9,228.4372325,Y
0,18 AM,17,6.855378776,N
12,18 PM,17,-5.576501174,N
24,19 AM,17,35.96388308,N
36,19 PM,17,3.666181645,N
48,20 AM,17,-1.210009758,N
60,20 PM,17,-1.421226867,N
72,21 AM,17,,N
84,21 PM,17,3.183737316,N
96,22 AM,17,63.71199349,N
108,22 PM,17,299.0873989,N
120,23 AM,17,427.4529113,N
132,23 PM,17,827.706872,N
144,24 AM,17,474.5522142,N
156,24 PM,17,618.8945258,N
168,25 AM,17,580.3748726,N
180,25 PM,17,455.4446468,N
192,26 AM,17,299.9443616,N
0,18 AM,30,-12.3396818,N
12,18 PM,30,17.20748934,N
24,19 AM,30,21.49381986,N
36,19 PM,30,-15.66210335,N
48,20 AM,30,-15.4594527,N
60,20 PM,30,-1.815802673,N
72,21 AM,30,,N
84,21 PM,30,959.5526359,N
96,22 AM,30,636.6350849,N
108,22 PM,30,1213.831978,N
120,23 AM,30,1376.66441,N
132,23 PM,30,1419.164163,N
144,24 AM,30,1463.363565,N
156,24 PM,30,1165.162264,N
168,25 AM,30,2302.457126,N
180,25 PM,30,1755.940334,N
192,26 AM,30,2215.933348,N
0,18 AM,31,9.793398252,Y
12,18 PM,31,-11.94964537,Y
24,19 AM,31,34.01021501,Y
36,19 PM,31,-13.01083477,Y
48,20 AM,31,,Y
60,20 PM,31,0,Y
72,21 AM,31,,Y
84,21 PM,31,263.3462545,Y
96,22 AM,31,47.14264429,Y
108,22 PM,31,21.21312038,Y
120,23 AM,31,104.4179863,Y
132,23 PM,31,157.8417994,Y
144,24 AM,31,190.5978761,Y
156,24 PM,31,216.7742413,Y
168,25 AM,31,308.9750954,Y
180,25 PM,31,421.3349316,Y
192,26 AM,31,316.8454092,Y
0,18 AM,36,-183.3324153,Y
12,18 PM,36,-1.991607562,Y
24,19 AM,36,-3.070545694,Y
36,19 PM,36,-3.13242067,Y
48,20 AM,36,31.1012866,Y
60,20 PM,36,0.907901337,Y
72,21 AM,36,-69.01031842,Y
84,21 PM,36,-4.055309693,Y
96,22 AM,36,17.07689584,Y
108,22 PM,36,155.2858238,Y
120,23 AM,36,227.2014567,Y
132,23 PM,36,392.4336782,Y
144,24 AM,36,422.8719937,Y
156,24 PM,36,603.8836047,Y
168,25 AM,36,753.4320244,Y
180,25 PM,36,789.004888,Y
192,26 AM,36,735.2621511,Y
0,18 AM,44,-9.989266217,N
12,18 PM,44,17.20748934,N
24,19 AM,44,5.803739622,N
36,19 PM,44,27.25242907,N
48,20 AM,44,11.69569114,N
60,20 PM,44,-39.35623218,N
72,21 AM,44,92.72906044,N
84,21 PM,44,2.878062449,N
96,22 AM,44,11.66367603,N
108,22 PM,44,240.0845799,N
120,23 AM,44,326.7474949,N
132,23 PM,44,725.2913459,N
144,24 AM,44,635.6562759,N
156,24 PM,44,705.2773737,N
168,25 AM,44,749.884365,N
180,25 PM,44,671.5923904,N
192,26 AM,44,515.5370402,N
0,18 AM,45,-147.4199347,Y
12,18 PM,45,9.480051996,Y
24,19 AM,45,4.605818541,Y
36,19 PM,45,4.698631005,Y
48,20 AM,45,1.54594527,Y
60,20 PM,45,-21.7852244,Y
72,21 AM,45,10.42784974,Y
84,21 PM,45,4.055309693,Y
96,22 AM,45,98.54701174,Y
108,22 PM,45,718.6007287,Y
120,23 AM,45,663.8233461,Y
132,23 PM,45,988.007913,Y
144,24 AM,45,862.018747,Y
156,24 PM,45,930.9493981,Y
168,25 AM,45,882.2694614,Y
180,25 PM,45,499.8225661,Y
192,26 AM,45,476.6446968,Y
0,18 AM,50,-50.24013303,N
12,18 PM,50,2.867914889,N
24,19 AM,50,4.858832366,N
36,19 PM,50,12.05871886,N
48,20 AM,50,-33.83536925,N
60,20 PM,50,-2.130750037,N
